channel_level
chan	month	level1
168	4	150
168	5	150
168	6	300
168	7	300
168	8	300
168	9	300
168	10	300
168	11	300
168	12	150
168	1	150
168	2	150
168	3	150
42	4	150
42	5	150
42	6	300
42	7	300
42	8	300
42	9	300
42	10	300
42	11	300
42	12	150
42	1	150
42	2	150
42	3	150
43	4	150
43	5	150
43	6	300
43	7	300
43	8	300
43	9	300
43	10	300
43	11	300
43	12	150
43	1	150
43	2	150
43	3	150
74	4	150
74	5	150
74	6	300
74	7	300
74	8	300
74	9	300
74	10	300
74	11	300
74	12	150
74	1	150
74	2	150
74	3	150
101	4	150
101	5	150
101	6	300
101	7	300
101	8	300
101	9	300
101	10	300
101	11	300
101	12	150
101	1	150
101	2	150
101	3	150
109	4	150
109	5	150
109	6	300
109	7	300
109	8	300
109	9	300
109	10	300
109	11	300
109	12	150
109	1	150
109	2	150
109	3	150
41	4	150
41	5	150
41	6	300
41	7	300
41	8	300
41	9	300
41	10	300
41	11	300
41	12	150
41	1	150
41	2	150
41	3	150
79	4	150
79	5	150
79	6	300
79	7	300
79	8	300
79	9	300
79	10	300
79	11	300
79	12	150
79	1	150
79	2	150
79	3	150
178	4	150
178	5	150
178	6	300
178	7	300
178	8	300
178	9	300
178	10	300
178	11	300
178	12	150
178	1	150
178	2	150
178	3	150
44	4	150
44	5	150
44	6	300
44	7	300
44	8	300
44	9	300
44	10	300
44	11	300
44	12	150
44	1	150
44	2	150
44	3	150
459	4	150
459	5	150
459	6	300
459	7	300
459	8	300
459	9	300
459	10	300
459	11	300
459	12	150
459	1	150
459	2	150
459	3	150
818	4	150
818	5	150
818	6	300
818	7	300
818	8	300
818	9	300
818	10	300
818	11	300
818	12	150
818	1	150
818	2	150
818	3	150
116	4	0
116	5	0
116	6	825
116	7	825
116	8	0
116	9	0
116	10	0
116	11	0
116	12	150
116	1	825
116	2	0
116	3	0
35	4	0
35	5	0
35	6	1413
35	7	1413
35	8	1413
35	9	1413
35	10	1413
35	11	1413
35	12	1413
35	1	1413
35	2	0
35	3	0
132	4	1140
132	5	1140
132	6	1140
132	7	1140
132	8	1140
132	9	1140
132	10	1140
132	11	1140
132	12	1140
132	1	0
132	2	0
132	3	0
135	4	0
135	5	0
135	6	40
135	7	40
135	8	40
135	9	40
135	10	40
135	11	40
135	12	40
135	1	40
135	2	0
135	3	0
133	4	0
133	5	0
133	6	217
133	7	217
133	8	217
133	9	217
133	10	217
133	11	217
133	12	217
133	1	217
133	2	0
133	3	0
811	4	0
811	5	0
811	6	161
811	7	161
811	8	161
811	9	161
811	10	161
811	11	161
811	12	161
811	1	161
811	2	0
811	3	0
937	4	0
937	5	0
937	6	120
937	7	120
937	8	120
937	9	120
937	10	120
937	11	120
937	12	120
937	1	120
937	2	0
937	3	0
194	4	0
194	5	0
194	6	94
194	7	94
194	8	94
194	9	94
194	10	94
194	11	94
194	12	94
194	1	94
194	2	0
194	3	0
118	4	0
118	5	0
118	6	3262
118	7	3262
118	8	3262
118	9	3262
118	10	3262
118	11	3262
118	12	3262
118	1	3262
118	2	0
118	3	0
408	4	0
408	5	0
408	6	1000
408	7	1000
408	8	1000
408	9	1000
408	10	1000
408	11	1000
408	12	1000
408	1	1000
408	2	0
408	3	0
183	4	20
183	5	20
183	6	30
183	7	30
183	8	30
183	9	30
183	10	30
183	11	30
183	12	30
183	1	20
183	2	20
183	3	20
80	4	173
80	5	173
80	6	454
80	7	454
80	8	605
80	9	446
80	10	212
80	11	173
80	12	173
80	1	173
80	2	173
80	3	173
81	4	94
81	5	94
81	6	94
81	7	227
81	8	267
81	9	196
81	10	110
81	11	94
81	12	94
81	1	94
81	2	94
81	3	94
82	4	170
82	5	170
82	6	170
82	7	682
82	8	849
82	9	547
82	10	233
82	11	186
82	12	170
82	1	170
82	2	170
82	3	170
275	4	0
275	5	0
275	6	3531
275	7	3531
275	8	3531
275	9	3531
275	10	3531
275	11	3531
275	12	3531
275	1	3531
275	2	0
275	3	0
819	4	0
819	5	0
819	6	3531
819	7	3531
819	8	3531
819	9	3531
819	10	3531
819	11	3531
819	12	3531
819	1	3531
819	2	0
819	3	0
489	4	0
489	5	0
489	6	3531
489	7	3531
489	8	3531
489	9	3531
489	10	3531
489	11	3531
489	12	3531
489	1	3531
489	2	0
489	3	0
149	4	10
149	5	10
149	6	3
149	7	3
149	8	3
149	9	5
149	10	3
149	11	3
149	12	3
149	1	3
149	2	10
149	3	10
150	4	10
150	5	10
150	6	3
150	7	3
150	8	3
150	9	5
150	10	3
150	11	3
150	12	3
150	1	3
150	2	10
150	3	10
649	4	10
649	5	10
649	6	10
649	7	10
649	8	35
649	9	71
649	10	71
649	11	14
649	12	14
649	1	10
649	2	15
649	3	15
619	4	10
619	5	10
619	6	10
619	7	10
619	8	35
619	9	71
619	10	71
619	11	14
619	12	14
619	1	10
619	2	15
619	3	15
154	4	10
154	5	10
154	6	10
154	7	10
154	8	10
154	9	20
154	10	20
154	11	14
154	12	10
154	1	15
154	2	15
154	3	15
156	4	10
156	5	10
156	6	10
156	7	10
156	8	10
156	9	20
156	10	20
156	11	14
156	12	10
156	1	15
156	2	15
156	3	15
315	4	0
315	5	0
315	6	0
315	7	0
315	8	0
315	9	0
315	10	183
315	11	183
315	12	0
315	1	0
315	2	0
315	3	0
362	4	0
362	5	0
362	6	0
362	7	0
362	8	0
362	9	0
362	10	27
362	11	27
362	12	0
362	1	0
362	2	0
362	3	0
367	4	0
367	5	0
367	6	0
367	7	0
367	8	0
367	9	0
367	10	78
367	11	78
367	12	0
367	1	0
367	2	0
367	3	0
371	4	0
371	5	0
371	6	0
371	7	0
371	8	0
371	9	0
371	10	78
371	11	78
371	12	0
371	1	0
371	2	0
371	3	0
374	4	0
374	5	0
374	6	0
374	7	0
374	8	0
374	9	0
374	10	100
374	11	100
374	12	0
374	1	0
374	2	0
374	3	0
108	4	0
108	5	0
108	6	1
