demand			
node	Major	Month	Demand
1	0	1	10.07
1	0	2	0.188
1	0	3	0.188
1	0	4	0.188
1	0	5	0.188
1	0	6	0.188
1	0	7	0.188
1	0	8	9.295
1	0	9	13.196
1	0	10	13.136
1	0	11	12.939
1	0	12	13.075
1	1	1	6.36
1	1	2	3.628
1	1	3	3.628
1	1	4	3.628
1	1	5	3.628
1	1	6	3.628
1	1	7	3.628
1	1	8	6.166
1	1	9	7.315
1	1	10	7.379
1	1	11	7.317
1	1	12	7.264
2	0	1	1.14
2	0	2	0.468
2	0	3	0.468
2	0	4	0.468
2	0	5	0.468
2	0	6	0.468
2	0	7	0.468
2	0	8	1.158
2	0	9	1.607
2	0	10	1.83
2	0	11	1.808
2	0	12	1.559
2	1	1	7.411
2	1	2	0.804
2	1	3	0.804
2	1	4	0.804
2	1	5	0.804
2	1	6	0.804
2	1	7	0.804
2	1	8	7.299
2	1	9	10.613
2	1	10	11.521
2	1	11	11.428
2	1	12	10.412
3	0	1	3.368
3	0	2	1.984
3	0	3	1.984
3	0	4	1.984
3	0	5	1.984
3	0	6	1.984
3	0	7	1.984
3	0	8	3.259
3	0	9	3.806
3	0	10	3.797
3	0	11	3.77
3	0	12	3.789
3	1	1	2.668
3	1	2	0.982
3	1	3	0.982
3	1	4	0.982
3	1	5	0.982
3	1	6	0.982
3	1	7	0.982
3	1	8	2.536
3	1	9	3.202
3	1	10	3.191
3	1	11	3.157
3	1	12	3.181
4	0	1	27.055
4	0	2	4.4
4	0	3	4.4
4	0	4	4.4
4	0	5	4.4
4	0	6	4.4
4	0	7	4.4
4	0	8	25.442
4	0	9	34.984
4	0	10	35.529
4	0	11	35.012
4	0	12	34.556
4	1	1	18.459
4	1	2	15.407
4	1	3	15.407
4	1	4	15.407
4	1	5	15.407
4	1	6	15.407
4	1	7	15.407
4	1	8	18.22
4	1	9	19.425
4	1	10	19.406
4	1	11	19.345
4	1	12	19.387
5	0	1	12.167
5	0	2	2.129
5	0	3	2.129
5	0	4	2.129
5	0	5	2.129
5	0	6	2.129
5	0	7	2.129
5	0	8	11.397
5	0	9	15.422
