district_irrig_demand		
node	month	irrig
390	4	0.00
390	5	0.00
390	6	0.00
390	7	0.00
390	8	116.10
390	9	154.27
390	10	160.36
390	11	88.52
390	12	39.93
390	1	0.00
390	2	0.00
390	3	0.00
305	4	0.00
305	5	0.00
305	6	0.00
305	7	0.00
305	8	9.11
305	9	11.71
305	10	12.58
305	11	6.94
305	12	3.03
305	1	0.00
305	2	0.00
305	3	0.00
304	4	0.00
304	5	0.00
304	6	0.00
304	7	0.00
304	8	9.11
304	9	11.71
304	10	12.58
304	11	6.94
304	12	3.03
304	1	0.00
304	2	0.00
304	3	0.00
303	4	0.00
303	5	0.00
303	6	0.00
303	7	0.00
303	8	9.11
303	9	11.71
303	10	12.58
303	11	6.94
303	12	3.03
303	1	0.00
303	2	0.00
303	3	0.00
391	4	0.00
391	5	0.00
391	6	0.00
391	7	0.00
391	8	276.57
391	9	355.66
391	10	382.02
391	11	210.89
391	12	92.05
391	1	0.00
391	2	0.00
391	3	0.00
381	4	0.00
381	5	0.00
381	6	0.00
381	7	0.00
381	8	224.12
381	9	288.20
381	10	309.56
381	11	170.89
381	12	74.59
381	1	0.00
381	2	0.00
381	3	0.00
382	4	0.00
382	5	0.00
382	6	0.00
382	7	0.00
382	8	224.12
382	9	288.20
382	10	309.56
382	11	170.89
382	12	74.59
382	1	0.00
382	2	0.00
382	3	0.00
380	4	0.00
380	5	0.00
380	6	0.00
380	7	0.00
380	8	224.12
380	9	288.20
380	10	309.56
380	11	170.89
380	12	74.59
380	1	0.00
380	2	0.00
380	3	0.00
396	4	0.00
396	5	0.00
396	6	0.00
396	7	0.00
396	8	224.12
396	9	288.20
396	10	309.56
396	11	170.89
396	12	74.59
396	1	0.00
396	2	0.00
396	3	0.00
383	4	0.00
383	5	0.00
383	6	0.00
383	7	0.00
383	8	224.12
383	9	288.20
383	10	309.56
383	11	170.89
383	12	74.59
383	1	0.00
383	2	0.00
383	3	0.00
385	4	0.00
385	5	0.00
385	6	0.00
385	7	0.00
385	8	224.12
385	9	288.20
385	10	309.56
385	11	170.89
385	12	74.59
385	1	0.00
385	2	0.00
385	3	0.00
384	4	0.00
384	5	0.00
384	6	0.00
384	7	0.00
384	8	224.12
384	9	288.20
384	10	309.56
384	11	170.89
384	12	74.59
384	1	0.00
384	2	0.00
384	3	0.00
386	4	0.00
386	5	0.00
386	6	0.00
386	7	0.00
386	8	224.12
386	9	288.20
386	10	309.56
386	11	170.89
386	12	74.59
386	1	0.00
386	2	0.00
386	3	0.00
387	4	0.00
387	5	0.00
387	6	0.00
387	7	0.00
387	8	224.12
387	9	288.20
387	10	309.56
387	11	170.89
387	12	74.59
387	1	0.00
387	2	0.00
387	3	0.00
388	4	0.00
388	5	0.00
388	6	0.00
388	7	0.00
388	8	224.12
388	9	288.20
388	10	309.56
388	11	170.89
388	12	74.59
388	1	0.00
388	2	0.00
388	3	0.00
389	4	0.00
389	5	0.00
389	6	0.00
389	7	0.00
389	8	224.12
389	9	288.20
389	10	309.56
389	11	170.89
389	12	74.59
389	1	0.00
389	2	0.00
389	3	0.00
392	4	0.00
392	5	0.00
392	6	0.00
392	7	0.00
392	8	179.83
392	9	231.25
392	10	248.39
392	11	137.12
392	12	59.85
392	1	0.00
392	2	0.00
392	3	0.00
393	4	0.00
393	5	0.00
393	6	0.00
393	7	0.00
393	8	179.83
393	9	231.25
393	10	248.39
393	11	137.12
393	12	59.85
393	1	0.00
393	2	0.00
393	3	0.00
394	4	0.00
394	5	0.00
394	6	0.00
394	7	0.00
394	8	179.83
394	9	231.25
394	10	248.39
394	11	137.12
394	12	59.85
394	1	0.00
394	2	0.00
394	3	0.00
301	4	0.00
301	5	0.00
301	6	0.00
301	7	0.00
301	8	116.09
301	9	149.29
301	10	160.36
301	11	88.52
301	12	38.64
301	1	0.00
301	2	0.00
301	3	0.00
302	4	0.00
302	5	0.00
302	6	0.00
302	7	0.00
302	8	116.09
302	9	149.29
302	10	160.36
302	11	88.52
302	12	38.64
302	1	0.00
302	2	0.00
302	3	0.00
