diversion_flows		
channel	month	flow
449	4	0
449	5	0
449	6	0
449	7	49.79
449	8	49.79
449	9	49.79
449	10	49.79
449	11	49.79
449	12	49.79
449	1	49.79
449	2	49.79
449	3	0
793	4	0
793	5	0
793	6	0
793	7	3531.47
793	8	3531.47
793	9	3531.47
793	10	3531.47
793	11	3531.47
793	12	3531.47
793	1	3531.47
793	2	3531.47
793	3	0
792	4	0
792	5	0
792	6	0
792	7	3531.47
792	8	3531.47
792	9	3531.47
792	10	3531.47
792	11	3531.47
792	12	3531.47
792	1	3531.47
792	2	3531.47
792	3	0
820	4	0
820	5	0
820	6	0
820	7	3531.47
820	8	3531.47
820	9	3531.47
820	10	3531.47
820	11	3531.47
820	12	3531.47
820	1	3531.47
820	2	3531.47
820	3	0
960	4	0
960	5	0
960	6	0
960	7	3531.47
960	8	3531.47
960	9	3531.47
960	10	3531.47
960	11	3531.47
960	12	3531.47
960	1	3531.47
960	2	3531.47
960	3	0
933	4	0
933	5	0
933	6	0
933	7	3531.47
933	8	3531.47
933	9	3531.47
933	10	3531.47
933	11	3531.47
933	12	3531.47
933	1	3531.47
933	2	3531.47
933	3	0
963	4	0
963	5	0
963	6	0
963	7	3531.47
963	8	3531.47
963	9	3531.47
963	10	3531.47
963	11	3531.47
963	12	3531.47
963	1	3531.47
963	2	3531.47
963	3	0
783	4	0
783	5	0
783	6	0
783	7	3531.47
783	8	3531.47
783	9	3531.47
783	10	3531.47
783	11	3531.47
783	12	3531.47
783	1	3531.47
783	2	3531.47
783	3	0
784	4	0
784	5	0
784	6	0
784	7	3531.47
784	8	3531.47
784	9	3531.47
784	10	3531.47
784	11	3531.47
784	12	3531.47
784	1	3531.47
784	2	3531.47
784	3	0
968	4	0
968	5	0
968	6	0
968	7	3531.47
968	8	3531.47
968	9	3531.47
968	10	3531.47
968	11	3531.47
968	12	3531.47
968	1	3531.47
968	2	3531.47
968	3	0
970	4	0
970	5	0
970	6	0
970	7	3531.47
970	8	3531.47
970	9	3531.47
970	10	3531.47
970	11	3531.47
970	12	3531.47
970	1	3531.47
970	2	3531.47
970	3	0
785	4	0
785	5	0
785	6	0
785	7	3531.47
785	8	3531.47
785	9	3531.47
785	10	3531.47
785	11	3531.47
785	12	3531.47
785	1	3531.47
785	2	3531.47
785	3	0
403	4	0
403	5	0
403	6	0
403	7	999.41
403	8	999.41
403	9	999.41
403	10	999.41
403	11	999.41
403	12	999.41
403	1	999.41
403	2	999.41
403	3	0
401	4	0
401	5	0
401	6	0
401	7	749.73
401	8	749.73
401	9	749.73
401	10	749.73
401	11	749.73
401	12	749.73
401	1	749.73
401	2	749.73
401	3	0
404	4	0
404	5	0
404	6	0
404	7	1000.11
404	8	1000.11
404	9	1000.11
404	10	1000.11
404	11	1000.11
404	12	1000.11
404	1	1000.11
404	2	1000.11
404	3	0
405	4	0
405	5	0
405	6	0
405	7	35314.7
405	8	35314.7
405	9	35314.7
405	10	35314.7
405	11	35314.7
405	12	35314.7
405	1	35314.7
405	2	35314.7
405	3	0
710	4	0
710	5	0
710	6	0
710	7	35314.7
710	8	35314.7
710	9	35314.7
710	10	35314.7
710	11	35314.7
710	12	35314.7
710	1	35314.7
710	2	0
710	3	0
407	4	0
407	5	0
407	6	0
407	7	35314.7
407	8	35314.7
407	9	35314.7
407	10	35314.7
407	11	35314.7
407	12	35314.7
407	1	35314.7
407	2	35314.7
407	3	0
711	4	0
711	5	0
711	6	0
711	7	35314.7
711	8	35314.7
711	9	35314.7
711	10	35314.7
711	11	35314.7
711	12	35314.7
711	1	35314.7
711	2	0
711	3	0
712	4	0
712	5	0
712	6	0
712	7	35314.7
712	8	35314.7
712	9	35314.7
712	10	35314.7
712	11	35314.7
712	12	35314.7
712	1	35314.7
712	2	35314.7
712	3	0
406	4	0
406	5	0
406	6	0
406	7	35314.7
406	8	35314.7
406	9	35314.7
406	10	35314.7
406	11	35314.7
406	12	35314.7
406	1	35314.7
406	2	35314.7
406	3	0
713	4	0
713	5	0
713	6	0
713	7	35314.7
713	8	35314.7
713	9	35314.7
713	10	35314.7
713	11	35314.7
713	12	35314.7
713	1	35314.7
713	2	35314.7
713	3	0
714	4	0
714	5	0
714	6	0
714	7	35314.7
714	8	35314.7
714	9	35314.7
714	10	35314.7
714	11	35314.7
714	12	35314.7
714	1	35314.7
714	2	35314.7
714	3	0
716	4	0
716	5	0
716	6	0
716	7	35314.7
716	8	35314.7
716	9	35314.7
716	10	35314.7
716	11	35314.7
716	12	35314.7
716	1	35314.7
716	2	35314.7
716	3	0
715	4	0
715	5	0
715	6	0
715	7	35314.7
715	8	35314.7
715	9	35314.7
715	10	35314.7
715	11	35314.7
715	12	35314.7
715	1	35314.7
715	2	35314.7
715	3	0
707	4	0
707	5	0
707	6	0
707	7	35314.7
707	8	35314.7
707	9	35314.7
707	10	35314.7
707	11	35314.7
707	12	35314.7
707	1	35314.7
707	2	35314.7
707	3	0
720	4	0
720	5	0
720	6	0
720	7	35314.7
720	8	35314.7
720	9	35314.7
720	10	35314.7
720	11	35314.7
720	12	35314.7
720	1	35314.7
720	2	35314.7
720	3	0
409	4	0
409	5	0
409	6	0
409	7	35314.7
409	8	35314.7
409	9	35314.7
409	10	35314.7
409	11	35314.7
409	12	35314.7
409	1	35314.7
