Evap		
res	month	val
3	4	0.306535599
3	5	0.396949033
3	6	1.904646698
3	7	3.656970479
3	8	4.559608761
3	9	5.530357317
3	10	6.141105678
3	11	5.706007018
3	12	4.871774284
3	1	2.476438345
3	2	1.898839608
3	3	0.267775735
1	4	1.512048061
1	5	1.827973428
1	6	2.418623353
1	7	3.972344665
1	8	4.398368517
1	9	6.171834041
1	10	6.412503463
1	11	5.892011056
1	12	3.972128129
1	1	3.295100205
1	2	1.293189675
1	3	1.22620145
10	4	0.516358547
10	5	0.826181549
10	6	2.119568074
10	7	4.433506331
10	8	4.972916071
10	9	6.075908793
10	10	5.826361414
10	11	5.470869096
10	12	3.447403436
10	1	2.78338733
10	2	0.688012183
10	3	0.427008105
5	4	0.806004372
5	5	1.330650325
5	6	2.768564487
5	7	4.782463212
5	8	5.268113081
5	9	6.706578425
5	10	6.545613771
5	11	6.477680663
5	12	4.344608645
5	1	3.503092443
5	2	0.872835117
5	3	0.637323179
2	4	1.512048061
2	5	1.827973428
2	6	2.418623353
2	7	3.972344665
2	8	4.398368517
2	9	6.171834041
2	10	6.412503463
2	11	5.892011056
2	12	3.972128129
2	1	3.295100205
2	2	1.293189675
2	3	1.22620145
4	4	0.806004372
4	5	1.330650325
4	6	2.768564487
4	7	4.782463212
4	8	5.268113081
4	9	6.706578425
4	10	6.545613771
4	11	6.477680663
4	12	4.344608645
4	1	3.503092443
4	2	0.872835117
4	3	0.637323179
6	4	0.806004372
6	5	1.330650325
6	6	2.768564487
6	7	4.782463212
6	8	5.268113081
6	9	6.706578425
6	10	6.545613771
6	11	6.477680663
6	12	4.344608645
6	1	3.503092443
6	2	0.872835117
6	3	0.637323179
8	4	0.806004372
8	5	1.330650325
8	6	2.768564487
8	7	4.782463212
8	8	5.268113081
8	9	6.706578425
8	10	6.545613771
8	11	6.477680663
8	12	4.344608645
8	1	3.503092443
8	2	0.872835117
8	3	0.637323179
7	4	0.806004372
7	5	1.330650325
7	6	2.768564487
7	7	4.782463212
7	8	5.268113081
7	9	6.706578425
7	10	6.545613771
7	11	6.477680663
7	12	4.344608645
7	1	3.503092443
7	2	0.872835117
7	3	0.637323179
9	4	0.516358547
9	5	0.826181549
9	6	2.119568074
9	7	4.433506331
9	8	4.972916071
9	9	6.075908793
9	10	5.826361414
9	11	5.470869096
9	12	3.447403436
9	1	2.78338733
9	2	0.688012183
9	3	0.427008105
11	4	0.516358547
11	5	0.826181549
11	6	2.119568074
11	7	4.433506331
11	8	4.972916071
11	9	6.075908793
11	10	5.826361414
11	11	5.470869096
11	12	3.447403436
11	1	2.78338733
11	2	0.688012183
11	3	0.427008105
12	4	0.516358547
12	5	0.826181549
12	6	2.119568074
12	7	4.433506331
12	8	4.972916071
12	9	6.075908793
12	10	5.826361414
12	11	5.470869096
12	12	3.447403436
12	1	2.78338733
12	2	0.688012183
12	3	0.427008105
13	4	0.516358547
13	5	0.826181549
13	6	2.119568074
13	7	4.433506331
13	8	4.972916071
13	9	6.075908793
13	10	5.826361414
13	11	5.470869096
13	12	3.447403436
13	1	2.78338733
13	2	0.688012183
13	3	0.427008105
