irrigation_demand		
month	channel	demand
4	1	0.0000
5	1	0.0000
6	1	0.0000
7	1	0.0231
8	1	0.0427
9	1	0.1023
10	1	0.1497
11	1	0.0562
12	1	0.0254
1	1	0.0007
2	1	0.0000
3	1	0.0000
4	2	0.0000
5	2	0.0000
6	2	0.0000
7	2	0.2091
8	2	0.3860
9	2	0.9255
10	2	1.3540
11	2	0.5086
12	2	0.2296
1	2	0.0067
2	2	0.0000
3	2	0.0000
4	6	0.0000
5	6	0.0000
6	6	0.0000
7	6	0.2481
8	6	0.4581
9	6	1.0983
10	6	1.6067
11	6	0.6035
12	6	0.2724
1	6	0.0080
2	6	0.0000
3	6	0.0000
4	5	0.0000
5	5	0.0000
6	5	0.0000
7	5	0.6526
8	5	1.2048
9	5	2.8886
10	5	4.2258
11	5	1.5873
12	5	0.7165
1	5	0.0210
2	5	0.0000
3	5	0.0000
4	4	0.0000
5	4	0.0000
6	4	0.0000
7	4	1.1484
8	4	2.1201
9	4	5.0829
10	4	7.4360
11	4	2.7930
12	4	1.2607
1	4	0.0370
2	4	0.0000
3	4	0.0000
4	3	0.0000
5	3	0.0000
6	3	0.0000
7	3	0.0116
8	3	0.0213
9	3	0.0512
10	3	0.0748
11	3	0.0281
12	3	0.0127
1	3	0.0004
2	3	0.0000
3	3	0.0000
4	7	0.0000
5	7	0.0000
6	7	0.0000
7	7	0.0555
8	7	0.1024
9	7	0.2456
10	7	0.3593
11	7	0.1349
12	7	0.0609
1	7	0.0018
2	7	0.0000
3	7	0.0000
4	8	0.0000
5	8	0.0000
6	8	0.0000
7	8	1.0550
8	8	1.9477
9	8	4.6697
10	8	6.8315
11	8	2.5660
12	8	1.1582
1	8	0.0340
2	8	0.0000
3	8	0.0000
4	10	0.0000
5	10	0.0000
6	10	0.0000
7	10	0.7384
8	10	1.3633
9	10	3.2684
10	10	4.7815
11	10	1.7960
12	10	0.8107
1	10	0.0238
2	10	0.0000
3	10	0.0000
4	9	0.0000
5	9	0.0000
6	9	0.0000
7	9	3.5550
8	9	6.5631
9	9	15.7352
10	9	23.0197
11	9	8.6463
12	9	3.9028
1	9	0.1144
2	9	0.0000
3	9	0.0000
4	11	0.0000
5	11	0.0000
6	11	0.0000
7	11	24.4029
8	11	45.0512
9	11	108.0109
10	11	158.0140
11	11	59.3511
12	11	26.7900
1	11	0.7855
2	11	0.0000
3	11	0.0000
