major_demand		
month	channel	demand
4	12	0.0875
5	12	0.0875
6	12	0.0875
7	12	0.0875
8	12	0.0875
9	12	0.0875
10	12	0.0875
11	12	0.0875
12	12	0.0875
1	12	0.0875
2	12	0.0875
3	12	0.0875
4	13	4.6297
5	13	4.6297
6	13	4.6297
7	13	4.6297
8	13	4.6297
9	13	4.6297
10	13	4.6297
11	13	4.6297
12	13	4.6297
1	13	4.6297
2	13	4.6297
3	13	4.6297
4	18	0.0676
5	18	0.0676
6	18	0.0676
7	18	0.0676
8	18	0.0676
9	18	0.0676
10	18	0.0676
11	18	0.0676
12	18	0.0676
1	18	0.0676
2	18	0.0676
3	18	0.0676
4	17	1.4857
5	17	1.4857
6	17	1.4857
7	17	1.4857
8	17	1.4857
9	17	1.4857
10	17	1.4857
11	17	1.4857
12	17	1.4857
1	17	1.4857
2	17	1.4857
3	17	1.4857
4	16	1.6132
5	16	1.6132
6	16	1.6132
7	16	1.6132
8	16	1.6132
9	16	1.6132
10	16	1.6132
11	16	1.6132
12	16	1.6132
1	16	1.6132
2	16	1.6132
3	16	1.6132
4	15	1.7842
5	15	1.7842
6	15	1.7842
7	15	1.7842
8	15	1.7842
9	15	1.7842
10	15	1.7842
11	15	1.7842
12	15	1.7842
1	15	1.7842
2	15	1.7842
3	15	1.7842
4	14	0.0155
5	14	0.0155
6	14	0.0155
7	14	0.0155
8	14	0.0155
9	14	0.0155
10	14	0.0155
11	14	0.0155
12	14	0.0155
1	14	0.0155
2	14	0.0155
3	14	0.0155
4	19	0.8919
5	19	0.8919
6	19	0.8919
7	19	0.8919
8	19	0.8919
9	19	0.8919
10	19	0.8919
11	19	0.8919
12	19	0.8919
1	19	0.8919
2	19	0.8919
3	19	0.8919
4	20	1.8227
5	20	1.8227
6	20	1.8227
7	20	1.8227
8	20	1.8227
9	20	1.8227
10	20	1.8227
11	20	1.8227
12	20	1.8227
1	20	1.8227
2	20	1.8227
3	20	1.8227
4	21	0.4337
5	21	0.4337
6	21	0.4337
7	21	0.4337
8	21	0.4337
9	21	0.4337
10	21	0.4337
11	21	0.4337
12	21	0.4337
1	21	0.4337
2	21	0.4337
3	21	0.4337
