max_diversion		
chan	month	level1
24	4	20.0194
24	5	20.0194
24	6	19.9855
24	7	300.1350
24	8	300.1350
24	9	300.1350
24	10	300.1350
24	11	300.1350
24	12	300.1350
24	1	19.9855
24	2	19.9855
24	3	19.9855
25	4	0.0000
25	5	0.0000
25	6	0.0000
25	7	60.0270
25	8	60.0270
25	9	60.0270
25	10	60.0270
25	11	60.0270
25	12	60.0270
25	1	0.0000
25	2	0.0000
25	3	0.0000
23	4	0.0000
23	5	0.0000
23	6	0.0000
23	7	60.0270
23	8	60.0270
23	9	60.0270
23	10	60.0270
23	11	60.0270
23	12	60.0270
23	1	0.0000
23	2	0.0000
23	3	0.0000
22	4	1.0016
22	5	1.0016
22	6	1.8855
22	7	4.9993
22	8	5.9278
22	9	6.8562
22	10	0.0000
22	11	0.0000
22	12	3.1996
22	1	3.0353
22	2	2.9996
22	3	1.3427
