private_irrig_demand		
node	month	irrig
674	4	0.00
674	5	0.00
674	6	0.00
674	7	0.00
674	8	155.37
674	9	206.45
674	10	214.60
674	11	118.47
674	12	53.43
674	1	0.00
674	2	0.00
674	3	0.00
673	4	0.00
673	5	0.00
673	6	0.00
673	7	0.00
673	8	2.44
673	9	3.25
673	10	3.38
673	11	1.86
673	12	0.84
673	1	0.00
673	2	0.00
673	3	0.00
675	4	0.00
675	5	0.00
675	6	0.00
675	7	0.00
675	8	72.03
675	9	95.71
675	10	99.49
675	11	54.92
675	12	24.77
675	1	0.00
675	2	0.00
675	3	0.00
671	4	0.00
671	5	0.00
671	6	0.00
671	7	0.00
671	8	229.65
671	9	305.16
671	10	317.20
671	11	175.11
671	12	78.98
671	1	0.00
671	2	0.00
671	3	0.00
622	4	0.00
622	5	0.00
622	6	0.00
622	7	0.00
622	8	194.57
622	9	258.55
622	10	268.75
622	11	148.36
622	12	66.91
622	1	0.00
622	2	0.00
622	3	0.00
676	4	0.00
676	5	0.00
676	6	0.00
676	7	0.00
676	8	194.57
676	9	258.55
676	10	268.75
676	11	148.36
676	12	66.91
676	1	0.00
676	2	0.00
676	3	0.00
668	4	0.00
668	5	0.00
668	6	0.00
668	7	0.00
668	8	223.82
668	9	297.41
668	10	309.15
668	11	170.66
668	12	76.97
668	1	0.00
668	2	0.00
668	3	0.00
669	4	0.00
669	5	0.00
669	6	0.00
669	7	0.00
669	8	223.82
669	9	297.41
669	10	309.15
669	11	170.66
669	12	76.97
669	1	0.00
669	2	0.00
669	3	0.00
670	4	0.00
670	5	0.00
670	6	0.00
670	7	0.00
670	8	223.82
670	9	297.41
670	10	309.15
670	11	170.66
670	12	76.97
670	1	0.00
670	2	0.00
670	3	0.00
646	4	0.00
646	5	0.00
646	6	0.00
646	7	0.00
646	8	223.82
646	9	297.41
646	10	309.15
646	11	170.66
646	12	76.97
646	1	0.00
646	2	0.00
646	3	0.00
