res_elev		
res	storage	elev
1	0.00	0.00
1	77.92	19.69
1	155.83	39.37
1	193.81	59.06
1	231.79	78.74
1	248.50	87.40
1	269.77	98.43
1	301.67	114.96
1	325.80	118.11
1	476.63	137.80
1	603.33	154.33
2	0.00	0.00
2	2.85	39.37
2	51.04	78.74
2	303.37	118.11
2	790.60	157.48
2	1516.53	196.85
2	2498.28	236.22
2	3794.49	275.59
2	5410.56	314.96
2	7361.06	354.33
2	9773.11	393.70
2	12625.48	433.07
2	15912.13	472.44
2	19756.07	511.81
2	24157.94	551.18
2	29154.49	590.55
2	34776.80	629.92
2	41040.09	669.29
2	48001.73	708.66
2	55783.12	748.03
2	64442.30	787.40
2	73882.56	826.77
2	84164.13	866.14
