res_level				
res	month	level1	level2	level3
1	4	154.33	87.40	39.37
1	5	154.33	87.40	39.37
1	6	154.33	87.40	39.37
1	7	154.33	59.06	39.37
1	8	154.33	59.06	39.37
1	9	154.33	59.06	39.37
1	10	154.33	59.06	39.37
1	11	154.33	59.06	39.37
1	12	154.33	59.06	39.37
1	1	154.33	87.40	39.37
1	2	154.33	87.40	39.37
1	3	154.33	87.40	39.37
2	4	866.14	685.04	157.48
2	5	866.14	685.04	157.48
2	6	866.14	685.04	157.48
2	7	866.14	690.94	157.48
2	8	866.14	706.69	157.48
2	9	866.14	723.62	157.48
2	10	866.14	727.85	157.48
2	11	866.14	721.46	157.48
2	12	866.14	712.60	157.48
2	1	866.14	703.74	157.48
2	2	866.14	695.86	157.48
2	3	866.14	687.40	157.48
