NNo,TSIndex,Inflow,Gw_In,Flow_Thru,Rout_Ret
2,0,393.72500000000002,0,0,0
3,0,0,0,0,0
4,0,0,0,0,0
5,0,0,0,0,0
6,0,0,0,0,0
7,0,2895.7820000000002,0,0,0
8,0,0,0,0,0
9,0,0,0,0,0
10,0,0,0,0,0
11,0,0,0,0,0
12,0,0,0,0,0
13,0,0,0,0,0
14,0,0,0,342.31700000000001,0
15,0,0,0,0,0
16,0,0,0,0,0
17,0,0,0,0,0
25,0,0,0,0,0
32,0,0,0,0,0
35,0,0,0,0,0
39,0,0,0,0,0
43,0,0,0,0,0
51,0,0,0,342.31700000000001,0
52,0,0,0,0,0
53,0,0.60499999999999998,0,0,0
54,0,90.719999999999999,0,0,0
55,0,641.08799999999997,0,0,0
56,0,0,0,0,0
57,0,0.60499999999999998,0,0,0
60,0,0,0,410.05399999999997,0
61,0,142.733,0,0,0
62,0,0,0,0,0
63,0,0,0,0,0
64,0,0,0,0,0
65,0,0,0,0,0
66,0,0,0,0,0
67,0,0,0,0,0
68,0,0,0,0,0
69,0,0,0,0,0
70,0,0,0,0,0
71,0,0,0,0,0
2,1,754.78999999999996,0,0,0
3,1,0,0,0,0
4,1,0,0,0,0
5,1,0,0,0,0
6,1,0,0,0,0
7,1,5677.2579999999998,0,0,0
8,1,0,0,0,0
9,1,0,0,0,0
10,1,0,0,0,0
11,1,0,0,0,0
12,1,0,0,0,0
13,1,0,0,0,0
14,1,0,0,342.31700000000001,0
15,1,0,0,0,0
16,1,0,0,0,0
17,1,0,0,0,0
25,1,0,0,0,0
32,1,0,0,0,0
35,1,0,0,0,0
39,1,0,0,0,0
43,1,0,0,0,0
51,1,0,0,342.31700000000001,0
52,1,0,0,0,0
53,1,0.60499999999999998,0,0,0
54,1,326.59199999999998,0,0,0
55,1,2322.4319999999998,0,0,0
56,1,0,0,0,0
57,1,0.60499999999999998,0,0,0
60,1,0,0,410.05399999999997,0
61,1,515.89400000000001,0,0,0
62,1,0,0,0,0
63,1,0,0,0,0
64,1,0,0,0,0
65,1,0,0,0,0
66,1,0,0,0,0
67,1,0,0,0,0
68,1,0,0,0,0
69,1,0,0,0,0
70,1,0,0,0,0
71,1,0,0,0,0
2,2,743.904,0,0,0
3,2,0,0,0,0
4,2,0,0,0,0
5,2,0,0,0,0
6,2,0,0,0,0
7,2,2680.4740000000002,0,0,0
8,2,0,0,0,0
9,2,0,0,0,0
10,2,0,0,0,0
11,2,0,0,0,0
12,2,0,0,0,0
13,2,0,0,0,0
14,2,0,0,342.31700000000001,0
15,2,0,0,0,0
16,2,0,0,0,0
17,2,0,0,0,0
25,2,0,0,0,0
32,2,0,0,0,0
35,2,0,0,0,0
39,2,0,0,0,0
43,2,0,0,0,0
51,2,0,0,342.31700000000001,0
52,2,0,0,0,0
53,2,0.60499999999999998,0,0,0
54,2,76.810000000000002,0,0,0
55,2,541.29600000000005,0,0,0
56,2,0,0,0,0
57,2,0.60499999999999998,0,0,0
60,2,0,0,410.05399999999997,0
61,2,120.355,0,0,0
62,2,0,0,0,0
63,2,0,0,0,0
64,2,0,0,0,0
65,2,0,0,0,0
66,2,0,0,0,0
67,2,0,0,0,0
68,2,0,0,0,0
69,2,0,0,0,0
70,2,0,0,0,0
71,2,0,0,0,0
2,3,607.21900000000005,0,0,0
3,3,0,0,0,0
4,3,0,0,0,0
5,3,0,0,0,0
6,3,0,0,0,0
7,3,2506.2910000000002,0,0,0
8,3,0,0,0,0
9,3,0,0,0,0
10,3,0,0,0,0
11,3,0,0,0,0
12,3,0,0,0,0
13,3,0,0,0,0
14,3,0,0,342.31700000000001,0
15,3,0,0,0,0
16,3,0,0,0,0
17,3,0,0,0,0
25,3,0,0,0,0
32,3,0,0,0,0
35,3,0,0,0,0
39,3,0,0,0,0
43,3,0,0,0,0
51,3,0,0,342.31700000000001,0
52,3,0,0,0,0
53,3,0.60499999999999998,0,0,0
54,3,65.923000000000002,0,0,0
55,3,464.48599999999999,0,0,0
56,3,0,0,0,0
57,3,0.60499999999999998,0,0,0
60,3,0,0,410.05399999999997,0
61,3,103.42100000000001,0,0,0
62,3,0,0,0,0
63,3,0,0,0,0
64,3,0,0,0,0
65,3,0,0,0,0
66,3,0,0,0,0
67,3,0,0,0,0
68,3,0,0,0,0
69,3,0,0,0,0
70,3,0,0,0,0
71,3,0,0,0,0
2,4,647.74099999999999,0,0,0
3,4,0,0,0,0
4,4,0,0,0,0
5,4,0,0,0,0
6,4,0,0,0,0
7,4,2648.4189999999999,0,0,0
8,4,0,0,0,0
9,4,0,0,0,0
10,4,0,0,0,0
11,4,0,0,0,0
12,4,0,0,0,0
13,4,0,0,0,0
14,4,0,0,342.31700000000001,0
15,4,0,0,0,0
16,4,0,0,0,0
17,4,0,0,0,0
25,4,0,0,0,0
32,4,0,0,0,0
35,4,0,0,0,0
39,4,0,0,0,0
43,4,0,0,0,0
51,4,0,0,342.31700000000001,0
52,4,0,0,0,0
53,4,0.60499999999999998,0,0,0
54,4,74.390000000000001,0,0,0
55,4,526.78099999999995,0,0,0
56,4,0,0,0,0
57,4,0.60499999999999998,0,0,0
60,4,0,0,410.05399999999997,0
61,4,117.331,0,0,0
62,4,0,0,0,0
63,4,0,0,0,0
64,4,0,0,0,0
65,4,0,0,0,0
66,4,0,0,0,0
67,4,0,0,0,0
68,4,0,0,0,0
69,4,0,0,0,0
70,4,0,0,0,0
71,4,0,0,0,0
2,5,705.80200000000002,0,0,0
3,5,0,0,0,0
4,5,0,0,0,0
5,5,0,0,0,0
6,5,0,0,0,0
7,5,2724.6239999999998,0,0,0
8,5,0,0,0,0
9,5,0,0,0,0
10,5,0,0,0,0
11,5,0,0,0,0
12,5,0,0,0,0
13,5,0,0,0,0
14,5,0,0,342.31700000000001,0
15,5,0,0,0,0
16,5,0,0,0,0
17,5,0,0,0,0
25,5,0,0,0,0
32,5,0,0,0,0
35,5,0,0,0,0
39,5,0,0,0,0
43,5,0,0,0,0
51,5,0,0,342.31700000000001,0
52,5,0,0,0,0
53,5,0.60499999999999998,0,0,0
54,5,79.834000000000003,0,0,0
55,5,561.85900000000004,0,0,0
56,5,0,0,0,0
57,5,0.60499999999999998,0,0,0
60,5,0,0,410.05399999999997,0
61,5,124.589,0,0,0
62,5,0,0,0,0
63,5,0,0,0,0
64,5,0,0,0,0
65,5,0,0,0,0
66,5,0,0,0,0
67,5,0,0,0,0
68,5,0,0,0,0
69,5,0,0,0,0
70,5,0,0,0,0
71,5,0,0,0,0
2,6,721.52599999999995,0,0,0
3,6,0,0,0,0
4,6,0,0,0,0
5,6,0,0,0,0
6,6,0,0,0,0
7,6,2398.0320000000002,0,0,0
8,6,0,0,0,0
9,6,0,0,0,0
10,6,0,0,0,0
11,6,0,0,0,0
12,6,0,0,0,0
13,6,0,0,0,0
14,6,0,0,342.31700000000001,0
15,6,0,0,0,0
16,6,0,0,0,0
17,6,0,0,0,0
25,6,0,0,0,0
32,6,0,0,0,0
35,6,0,0,0,0
39,6,0,0,0,0
43,6,0,0,0,0
51,6,0,0,342.31700000000001,0
52,6,0,0,0,0
53,6,0.60499999999999998,0,0,0
54,6,59.270000000000003,0,0,0
55,6,418.52199999999999,0,0,0
56,6,0,0,0,0
57,6,0.60499999999999998,0,0,0
60,6,0,0,410.05399999999997,0
61,6,93.138999999999996,0,0,0
62,6,0,0,0,0
63,6,0,0,0,0
64,6,0,0,0,0
65,6,0,0,0,0
66,6,0,0,0,0
67,6,0,0,0,0
68,6,0,0,0,0
69,6,0,0,0,0
70,6,0,0,0,0
71,6,0,0,0,0
2,7,557.62599999999998,0,0,0
3,7,0,0,0,0
4,7,0,0,0,0
5,7,0,0,0,0
6,7,0,0,0,0
7,7,2300.0540000000001,0,0,0
8,7,0,0,0,0
9,7,0,0,0,0
10,7,0,0,0,0
11,7,0,0,0,0
12,7,0,0,0,0
13,7,0,0,0,0
14,7,0,0,342.31700000000001,0
15,7,0,0,0,0
16,7,0,0,0,0
17,7,0,0,0,0
25,7,0,0,0,0
32,7,0,0,0,0
35,7,0,0,0,0
39,7,0,0,0,0
43,7,0,0,0,0
51,7,0,0,342.31700000000001,0
52,7,0,0,0,0
53,7,0.60499999999999998,0,0,0
54,7,53.826999999999998,0,0,0
55,7,378.60500000000002,0,0,0
56,7,0,0,0,0
57,7,0.60499999999999998,0,0,0
60,7,0,0,410.05399999999997,0
