NNo,TSIndex,Spills,Evap_Loss,Seepage,Ups_Rel,Pump_In,Gw_In,Dws_Rel,Pump_Out,Hydra_Cap,Head_Avg,Powr_Avg,Energy,Pwr_2nd,Hydro_State
1,0,0,0,0,6622.5600000000004,0,0,35218.059999999998,35218.059999999998,0,82.083712000000105,46852.929714736179,7871.292192075678,0,0
17,0,0,0,0,0,0,0,31000.149000000001,31000.149000000001,0,120.23097201767314,60408.002471221196,10148.544415165161,0,0
1,1,0,-207.06200000000001,0,12699.59,0,0,29792.894,29792.894,0,81.410274308480666,39310.289762733875,6604.1286801392907,0,0
17,1,0,-133.78800000000001,0,0,0,0,32090.150000000001,32090.150000000001,0,119.27503597657392,62034.836071336395,10421.852459984515,0,0
1,2,0,0,0,13652.15,0,0,43053.398000000001,43053.398000000001,0,80.710708681419646,56318.740031542642,9461.5483252991635,0,0
17,2,0,0,0,0,0,0,31829.748,31829.748,0,118.30623806103438,61031.659732345644,10253.318835034068,0,0
1,3,0,-303.12900000000002,0,10846.483,0,0,39361.720999999998,39361.720999999998,0,79.943343643676826,51000.06422438423,8568.0107896965492,0,0
17,3,0,-173.816,0,0,0,0,22667.272000000001,22667.272000000001,0,117.40718385176547,43132.860692825285,7246.3205963946475,0,0
1,4,0,0,0,10343.290000000001,0,0,37588.466999999997,37588.466999999997,0,79.129903725670601,48206.942427996917,8098.7663279034823,0,0
17,4,0,0,0,0,0,0,22735,22735,0,116.52286000000004,42935.886057188727,7213.2288576077062,0,0
1,5,0,-313.41800000000001,0,11116.829,0,0,43161.690999999999,43161.690999999999,0,78.311199454932876,54781.845999936246,9203.350127989288,0,0
17,5,0,-160.32300000000001,0,0,0,0,23119.608,23119.608,0,115.60897999999997,43319.792856011634,7277.7251998099546,0,0
1,6,0,-234.38499999999999,0,10488.441999999999,0,0,44351.387000000002,44351.387000000002,0,77.487487500000043,55699.73397081242,9357.555307096487,0,0
17,6,0,-113.657,0,0,0,0,21334.014999999999,21334.014999999999,0,114.72538000000009,39668.560092511536,6664.3180955419384,0,0
1,7,0,-277.733,0,10194.509,0,0,44820.802000000003,44820.802000000003,0,76.63777499999992,55672.002936725214,9352.8964933698371,0,0
17,7,0,-129.22900000000001,0,0,0,0,16947.727999999999,16947.727999999999,0,113.88077999999996,31280.684928374929,5255.1550679669881,0,0
1,8,0,121.80800000000001,0,10037.261,0,0,56902.612999999998,56902.612999999998,0,75.731712500000185,69843.231166336787,11733.66283594458,0,0
17,8,0,51.054000000000002,0,0,0,0,8097.6599999999999,8097.6599999999999,0,113.05314999999996,14837.356820434448,2492.6759458329875,0,0
1,9,0,-54.261000000000003,0,8760.5280000000002,0,0,46179.089,46179.089,0,74.723275000000058,55926.236478493738,9395.6077283869472,0,0
17,9,0,-27.472000000000001,0,0,0,0,15476.029,15476.029,0,112.27024393939394,28160.381670708233,4730.9441206789834,0,0
1,10,0,-295.512,0,8038.3969999999999,0,0,49214.245999999999,49214.245999999999,0,73.615841666666711,58718.702866882944,9864.7420816363338,0,0
17,10,0,-128.28200000000001,0,0,0,0,21200.669999999998,21200.669999999998,0,111.57551515151522,38338.297427629572,6440.8339678417678,0,0
1,11,0,244.80600000000001,0,10044.518,0,0,59015.800000000003,59015.800000000003,0,72.383919999999989,69234.84641710078,11631.45419807293,0,0
17,11,0,81.641999999999996,0,0,0,0,5789.2420000000002,5789.2420000000002,0,110.91468371212125,10406.988744176999,1748.3741090217359,0,0
1,12,0,-440.44400000000002,0,13283.222,0,0,59218.285000000003,59218.285000000003,0,71.008557333333329,68152.352359145705,11449.595196336479,0,0
17,12,0,-178.12100000000001,0,0,0,0,5078.692,5078.692,0,110.26687500000003,9076.3509023853367,1524.8269516007365,0,0
