NNo,TSIndex,Spills,Evap_Loss,Seepage,Ups_Rel,Pump_In,Gw_In,Dws_Rel,Pump_Out,Hydra_Cap,Head_Avg,Powr_Avg,Energy,Pwr_2nd,Hydro_State
1,0,0,0,0,5960.3040000000001,0,0,34555.803999999996,34555.803999999996,0,82.083712000000105,45971.886470981066,7723.2769271248189,0,0
17,0,0,0,0,0,0,0,31000.149000000001,31000.149000000001,0,120.23097201767314,60408.002471221196,10148.544415165161,0,0
1,1,0,-207.06200000000001,0,11429.51,0,0,28522.813999999998,28522.813999999998,0,81.410274308480666,37634.480329053047,6322.5926952809123,0,0
17,1,0,-133.78800000000001,0,0,0,0,32090.150000000001,32090.150000000001,0,119.27503597657392,62034.836071336395,10421.852459984515,0,0
1,2,0,0,0,12287.117,0,0,41688.364999999998,41688.364999999998,0,80.710708681419646,54533.121654533767,9161.5644379616733,0,0
17,2,0,0,0,0,0,0,31829.748,31829.748,0,118.30623806103438,61031.659732345644,10253.318835034068,0,0
1,3,0,-303.12900000000002,0,9762.0769999999993,0,0,38277.315000000002,38277.315000000002,0,79.943343643676826,49595.024651919717,8331.9641415225124,0,0
17,3,0,-173.816,0,0,0,0,22667.272000000001,22667.272000000001,0,117.40718385176547,43132.860692825285,7246.3205963946475,0,0
1,4,0,0,0,9309.0820000000003,0,0,36554.258999999998,36554.258999999998,0,79.129903725670601,46880.57800045659,7875.9371040767064,0,0
17,4,0,0,0,0,0,0,22735,22735,0,116.52286000000004,42935.886057188727,7213.2288576077062,0,0
1,5,0,-313.41800000000001,0,10005.206,0,0,42050.067999999999,42050.067999999999,0,78.311199454932876,53370.947617943115,8966.319199814443,0,0
17,5,0,-160.32300000000001,0,0,0,0,23119.608,23119.608,0,115.60897999999997,43319.792856011634,7277.7251998099546,0,0
1,6,0,-234.38499999999999,0,9439.7180000000008,0,0,43302.663,43302.663,0,77.487487500000043,54382.669234848094,9136.288431454479,0,0
17,6,0,-113.657,0,0,0,0,21334.014999999999,21334.014999999999,0,114.72538000000009,39668.560092511536,6664.3180955419384,0,0
1,7,0,-277.733,0,9174.8160000000007,0,0,43801.108999999997,43801.108999999997,0,76.63777499999992,54405.440332812905,9140.1139759125672,0,0
17,7,0,-129.22900000000001,0,0,0,0,16947.727999999999,16947.727999999999,0,113.88077999999996,31280.684928374929,5255.1550679669881,0,0
1,8,0,121.80800000000001,0,9033.2929999999997,0,0,55898.644999999997,55898.644999999997,0,75.731712500000185,68610.943835215367,11526.638564316181,0,0
17,8,0,51.054000000000002,0,0,0,0,8097.6599999999999,8097.6599999999999,0,113.05314999999996,14837.356820434448,2492.6759458329875,0,0
1,9,0,-54.261000000000003,0,7884.1729999999998,0,0,45302.733999999997,45302.733999999997,0,74.723275000000058,54864.906815426737,9217.3043449916913,0,0
17,9,0,-27.472000000000001,0,0,0,0,15476.029,15476.029,0,112.27024393939394,28160.381670708233,4730.9441206789834,0,0
1,10,0,-295.512,0,7234.6180000000004,0,0,48410.466999999997,48410.466999999997,0,73.615841666666711,57759.69477252668,9703.628721784482,0,0
17,10,0,-128.28200000000001,0,0,0,0,21200.669999999998,21200.669999999998,0,111.57551515151522,38338.297427629572,6440.8339678417678,0,0
1,11,0,244.80600000000001,0,9039.9459999999999,0,0,58011.228000000003,58011.228000000003,0,72.383919999999989,68056.324934126402,11433.462588933235,0,0
17,11,0,81.641999999999996,0,0,0,0,5789.2420000000002,5789.2420000000002,0,110.91468371212125,10406.988744176999,1748.3741090217359,0,0
1,12,0,-440.44400000000002,0,11955.082,0,0,57890.144999999997,57890.144999999997,0,71.008557333333329,66623.840257481905,11192.80516325696,0,0
17,12,0,-178.12100000000001,0,0,0,0,5078.692,5078.692,0,110.26687500000003,9076.3509023853367,1524.8269516007365,0,0
1,13,0,-222.34299999999999,0,5852.0450000000001,0,0,52744.044000000002,52744.044000000002,0,69.542704000000185,59448.285468302158,9987.3119586747616,0,0
17,13,0,-92.539000000000001,0,0,0,0,4428.71,4428.71,0,109.78601249999997,7880.2244927524953,1323.8777147824192,0,0
1,14,0,-22.164000000000001,0,5806.6850000000004,0,0,48337.786999999997,48337.786999999997,0,68.064783999999918,53324.104381017096,8958.4495360108722,0,0
17,14,0,-14.057,0,0,0,0,2676.3429999999998,2676.3429999999998,0,109.54485,4751.6897030691161,798.28387011561142,0,0
1,15,0,-221.642,0,10053.591,0,0,46718.442000000003,46718.442000000003,0,66.458912000000055,50321.770635509114,8454.057466765531,0,0
17,15,0,-89.304000000000002,0,0,0,0,0,0,0,109.48052499999994,0,0,0,0
1,16,0,306.55700000000002,0,20227.536,0,0,38439.061000000002,38439.061000000002,0,65.13982400000009,40582.022418690904,6817.7797663400715,0,0
17,16,0,108.33,0,18828.633999999998,0,0,11399.723,11399.723,0,109.74737500000003,20276.956782175926,3406.5287394055558,0,0
1,17,0,222.31,0,28633.046999999999,0,0,45579.589999999997,45579.589999999997,0,64.328605066666796,47521.362493537817,7983.5888989143532,0,0
17,17,0,85.088999999999999,0,26169.696,0,0,23573.977999999999,23573.977999999999,0,110.16893750000008,42092.659910583985,7071.5668649781092,0,0
1,18,0,215.292,0,23391.244999999999,0,0,34991.523999999998,34991.523999999998,0,63.711655199999996,36132.339437805451,6070.2330255513152,0,0
17,18,0,88.402000000000001,0,17606.937999999998,0,0,11751.108,11751.108,0,110.68631249999999,21080.799248721356,3541.5742737851879,0,0
1,19,0,219.827,0,29308.608,0,0,44235.129999999997,44235.129999999997,0,63.140779786666599,45268.028914065726,7605.028857563042,0,0
17,19,0,104.89400000000001,0,19811.433000000001,0,0,0,0,0,111.41854166666667,0,0,0,0
1,20,0,290.38400000000001,0,50032.684999999998,0,0,18297.677,18297.677,0,63.485862773333565,18827.26860026332,3162.9811248442379,0,0
17,20,0,156.178,0,35029.411,0,0,9302.4290000000001,9302.4290000000001,0,112.55171666666661,16969.256835524655,2850.8351483681422,0,0
1,21,0,338.25099999999998,0,104070.96000000001,0,0,46421.559999999998,46421.559999999998,0,65.494525120000162,49276.410444108595,8278.4369546102425,0,0
17,21,0,174.86699999999999,0,61028.553999999996,0,0,33364.472000000002,33364.472000000002,0,113.99097000000006,61640.909962405109,10355.672873684058,0,0
1,22,0,-2945.259,0,67045.104000000007,0,0,25150.309000000001,25150.309000000001,0,67.688600000000179,27591.365385236979,4635.3493847198124,0,0
17,22,0,-1890.99,0,36789.983999999997,0,0,9835.616,9835.616,0,115.24574000000007,18371.337734717355,3086.3847394325157,0,0
1,23,0,136.05000000000001,0,194386.34899999999,0,0,125236.18700000001,125236.18700000001,0,69.644031999999925,120000,20160,0,0
17,23,0,38.271000000000001,0,104116.32000000001,0,0,66884.120999999999,66884.120999999999,0,116.56651999999997,126360.45778102764,21228.556907212645,0,0
1,24,0,-1394.943,0,350389.66999999998,0,0,280525.68800000002,280525.68800000002,0,71.772688000000244,120000,20160,0,0
17,24,0,-1014.569,0,176364.519,0,0,138107.391,138107.391,0,117.92760638070217,263965.23952123465,44346.16023956742,0,0
1,25,0,-527.505,0,392346.46000000002,0,0,312547.79399999999,312547.79399999999,0,73.949345000000221,120000,20160,0,0
17,25,0,-453.81099999999998,0,180535.82399999999,0,0,131781.734,131781.734,0,119.31455660161532,254837.29406266965,42812.665402528502,0,0
1,26,0,325.58699999999999,0,307097.48100000003,0,0,200308.087,200308.087,0,76.310560000000123,120000,20160,0,0
17,26,0,168.74700000000001,0,145474.359,0,0,113232.711,113232.711,0,120.55933022091313,221251.92979178071,37170.324205019162,0,0
1,27,0,955.423,0,313058.39000000001,0,0,229873.51300000001,229873.51300000001,0,78.650127518586714,120000,20160,0,0
17,27,0,612.32299999999998,0,157990.69399999999,0,0,142897.41800000001,142897.41800000001,0,121.251575,280818.75254684401,47177.550427869799,0,0
1,28,0,691.42700000000002,0,212958.54699999999,0,0,134340.122,134340.122,0,80.894420518586685,120000,20160,0,0
17,28,0,439.12599999999998,0,93102.911999999997,0,0,81620.452999999994,81620.452999999994,0,121.63445000000002,160905.14538795414,27032.064425176297,0,0
1,29,0,859.71100000000001,0,205224.36499999999,0,0,118549.196,118549.196,0,83.037915999999996,120000,20160,0,0
17,29,0,549.34000000000003,0,75741.523000000001,0,0,63396.468999999997,63396.468999999997,0,121.977035,125330.70353576263,21055.558194008125,0,0
1,30,0,17.635000000000002,0,202270.522,0,0,121449.304,121449.304,0,85.037344000000076,120000,20160,0,0
17,30,0,-60.353000000000002,0,74130.941000000006,0,0,51817.008000000002,51817.008000000002,0,122.48958500000003,102869.31106548205,17282.044259000984,0,0
1,31,0,1391.893,0,152874.08600000001,0,0,86291.733999999997,86291.733999999997,0,86.78927200000021,120000,20160,0,0
17,31,0,891.91300000000001,0,62245.411,0,0,42576.830999999998,42576.830999999998,0,123.10685000000001,84951.272416353837,14271.813765947445,0,0
1,32,0,889.29200000000003,0,118496.045,0,0,35938.873,35938.873,0,88.154838857142977,51348.167060132764,8626.4920661023043,0,0
17,32,0,537.59000000000003,0,57518.294999999998,0,0,40466.624000000003,40466.624000000003,0,123.62705478424607,81082.07095534922,13621.787920498669,0,0
