NNo,TSIndex,Surf_In,Gw_In,Demand,Shortage,Hydro_State
13,0,0,0,-8446744073709553,0,0
33,0,23094.893,0,23094.893,0,0
35,0,429.40800000000002,0,429.40800000000002,0,0
36,0,4820.2560000000003,0,4820.2560000000003,0,0
13,1,0,0,-8446744073709553,0,0
33,1,25902.978999999999,0,25902.978999999999,0,0
35,1,384.048,0,384.048,0,0
36,1,3388.0900000000001,0,3388.0900000000001,0,0
13,2,0,0,-8446744073709553,0,0
33,2,27440.381000000001,0,27440.381000000001,0,0
35,2,364.69400000000002,0,364.69400000000002,0,0
36,2,4405.9679999999998,0,4405.9679999999998,0,0
13,3,0,0,-8446744073709553,0,0
33,3,27276.48,0,27276.48,0,0
35,3,307.238,0,307.238,0,0
36,3,3647.549,0,3647.549,0,0
13,4,0,0,-8446744073709553,0,0
33,4,29704.147000000001,0,29704.147000000001,0,0
35,4,286.67500000000001,0,286.67500000000001,0,0
36,4,3943.2959999999998,0,3943.2959999999998,0,0
13,5,0,0,-8446744073709553,0,0
33,5,28667.52,0,28667.52,0,0
35,5,322.96300000000002,0,322.96300000000002,0,0
36,5,2592.1729999999998,0,2592.1729999999998,0,0
13,6,0,0,-8446744073709553,0,0
33,6,26369.279999999999,0,26369.279999999999,0,0
35,6,276.39400000000001,0,276.39400000000001,0,0
36,6,400.98200000000003,0,400.98200000000003,0,0
13,7,0,0,-8446744073709553,0,0
33,7,26550.720000000001,0,26550.720000000001,0,0
35,7,195.34999999999999,0,195.34999999999999,0,0
36,7,1152.749,0,1152.749,0,0
13,8,0,0,-8446744073709553,0,0
33,8,26040.874,0,26040.874,0,0
35,8,195.34999999999999,0,195.34999999999999,0,0
36,8,383.44299999999998,0,383.44299999999998,0,0
13,9,0,0,-8446744073709553,0,0
33,9,27578.880000000001,0,27578.880000000001,0,0
35,9,239.501,0,239.501,0,0
36,9,16.934000000000001,0,16.934000000000001,0,0
13,10,0,0,-8446744073709553,0,0
33,10,27103.507000000001,0,27103.507000000001,0,0
35,10,227.405,0,227.405,0,0
36,10,27.216000000000001,0,27.216000000000001,0,0
13,11,0,0,-8446744073709553,0,0
33,11,26326.339,0,26326.339,0,0
35,11,283.65100000000001,0,283.65100000000001,0,0
36,11,34.473999999999997,0,34.473999999999997,0,0
