NNo,TSIndex,Inflow,Gw_In,Flow_Thru,Rout_Ret
6,0,1501.7180000000001,0,0,0
7,0,0,0,0,0
8,0,4052.1599999999999,0,0,0
9,0,0,0,0,0
10,0,140.91800000000001,0,0,0
11,0,2157.3220000000001,0,0,0
12,0,0,0,0,0
14,0,0,0,0,0
15,0,202.608,0,0,0
16,0,0,0,0,0
17,0,0,0,0,0
20,0,13440.469999999999,0,0,0
25,0,0,0,0,0
26,0,0,0,4820.2560000000003,0
27,0,0,0,0,0
28,0,5008.9539999999997,0,0,0
29,0,804.38400000000001,0,0,0
30,0,0,0,429.40800000000002,0
31,0,0,0,0,0
32,0,0,0,0,0
34,0,0,0,0,0
37,0,0,0,0,0
38,0,0,0,0,0
39,0,0,0,0,0
40,0,0,0,0,0
41,0,0,0,0,0
42,0,0,0,0,0
43,0,0,0,0,0
44,0,0,0,0,0
45,0,0,0,0,0
46,0,0,0,0,0
47,0,0,0,0,0
48,0,0,0,0,0
49,0,0,0,0,0
50,0,0,0,0,0
51,0,0,0,0,0
52,0,0,0,0,0
53,0,0,0,0,0
54,0,0,0,0,0
6,1,2292.797,0,0,0
7,1,0,0,0,0
8,1,4412.6210000000001,0,0,0
9,1,0,0,0,0
10,1,313.89100000000002,0,0,0
11,1,5071.8530000000001,0,0,0
12,1,0,0,0,0
14,1,0,0,0,0
15,1,834.01900000000001,0,0,0
16,1,0,0,0,0
17,1,0,0,0,0
20,1,16780.175999999999,0,0,0
25,1,0,0,0,0
26,1,0,0,3388.0900000000001,0
27,1,0,0,0,0
28,1,6171.9840000000004,0,0,0
29,1,4216.6660000000002,0,0,0
30,1,0,0,384.048,0
31,1,0,0,0,0
32,1,0,0,0,0
34,1,0,0,0,0
37,1,0,0,0,0
38,1,0,0,0,0
39,1,0,0,0,0
40,1,0,0,0,0
41,1,0,0,0,0
42,1,0,0,0,0
43,1,0,0,0,0
44,1,0,0,0,0
45,1,0,0,0,0
46,1,0,0,0,0
47,1,0,0,0,0
48,1,0,0,0,0
49,1,0,0,0,0
50,1,0,0,0,0
51,1,0,0,0,0
52,1,0,0,0,0
53,1,0,0,0,0
54,1,0,0,0,0
6,2,2056.3200000000002,0,0,0
7,2,0,0,0,0
8,2,3585.8589999999999,0,0,0
9,2,0,0,0,0
10,2,199.584,0,0,0
11,2,3060.893,0,0,0
12,2,0,0,0,0
14,2,0,0,0,0
15,2,400.37799999999999,0,0,0
16,2,0,0,0,0
17,2,0,0,0,0
20,2,9229.8529999999992,0,0,0
25,2,0,0,0,0
26,2,0,0,4405.9679999999998,0
27,2,0,0,0,0
28,2,4681.152,0,0,0
29,2,1031.789,0,0,0
30,2,0,0,364.69400000000002,0
31,2,0,0,0,0
32,2,0,0,0,0
34,2,0,0,0,0
37,2,0,0,0,0
38,2,0,0,0,0
39,2,0,0,0,0
40,2,0,0,0,0
41,2,0,0,0,0
42,2,0,0,0,0
43,2,0,0,0,0
44,2,0,0,0,0
45,2,0,0,0,0
46,2,0,0,0,0
47,2,0,0,0,0
48,2,0,0,0,0
49,2,0,0,0,0
50,2,0,0,0,0
51,2,0,0,0,0
52,2,0,0,0,0
53,2,0,0,0,0
54,2,0,0,0,0
6,3,2072.6500000000001,0,0,0
7,3,0,0,0,0
8,3,3808.4259999999999,0,0,0
9,3,0,0,0,0
10,3,166.31999999999999,0,0,0
11,3,2576.4479999999999,0,0,0
12,3,0,0,0,0
14,3,0,0,0,0
15,3,289.69900000000001,0,0,0
16,3,0,0,0,0
17,3,0,0,0,0
20,3,7783.1710000000003,0,0,0
25,3,0,0,0,0
26,3,0,0,3647.549,0
27,3,0,0,0,0
28,3,4198.5219999999999,0,0,0
29,3,137.28999999999999,0,0,0
30,3,0,0,307.238,0
31,3,0,0,0,0
32,3,0,0,0,0
34,3,0,0,0,0
37,3,0,0,0,0
38,3,0,0,0,0
39,3,0,0,0,0
40,3,0,0,0,0
41,3,0,0,0,0
42,3,0,0,0,0
43,3,0,0,0,0
44,3,0,0,0,0
45,3,0,0,0,0
46,3,0,0,0,0
47,3,0,0,0,0
48,3,0,0,0,0
49,3,0,0,0,0
50,3,0,0,0,0
51,3,0,0,0,0
52,3,0,0,0,0
53,3,0,0,0,0
54,3,0,0,0,0
6,4,2277.6770000000001,0,0,0
7,4,0,0,0,0
8,4,3426.797,0,0,0
9,4,0,0,0,0
10,4,178.416,0,0,0
11,4,2720.9949999999999,0,0,0
12,4,0,0,0,0
14,4,0,0,0,0
15,4,326.59199999999998,0,0,0
16,4,0,0,0,0
17,4,0,0,0,0
20,4,8599.6509999999998,0,0,0
25,4,0,0,0,0
26,4,0,0,3943.2959999999998,0
27,4,0,0,0,0
28,4,4581.9650000000001,0,0,0
29,4,202.00299999999999,0,0,0
30,4,0,0,286.67500000000001,0
31,4,0,0,0,0
32,4,0,0,0,0
34,4,0,0,0,0
37,4,0,0,0,0
38,4,0,0,0,0
39,4,0,0,0,0
40,4,0,0,0,0
41,4,0,0,0,0
42,4,0,0,0,0
43,4,0,0,0,0
44,4,0,0,0,0
