NNo,TSIndex,Inflow,Gw_In,Flow_Thru,Rout_Ret
6,0,1351.7280000000001,0,0,0
7,0,0,0,0,0
8,0,3646.944,0,0,0
9,0,0,0,0,0
10,0,127.008,0,0,0
11,0,1941.4079999999999,0,0,0
12,0,0,0,0,0
14,0,0,0,0,0
15,0,182.65000000000001,0,0,0
16,0,0,0,0,0
17,0,0,0,0,0
20,0,12096.605,0,0,0
25,0,0,0,0,0
26,0,0,0,4820.2560000000003,0
27,0,0,0,0,0
28,0,4508.1790000000001,0,0,0
29,0,723.94600000000003,0,0,0
30,0,0,0,429.40800000000002,0
31,0,0,0,0,0
32,0,0,0,0,0
34,0,0,0,0,0
37,0,0,0,0,0
38,0,0,0,0,0
39,0,0,0,0,0
40,0,0,0,0,0
41,0,0,0,0,0
42,0,0,0,0,0
43,0,0,0,0,0
44,0,0,0,0,0
45,0,0,0,0,0
46,0,0,0,0,0
47,0,0,0,0,0
48,0,0,0,0,0
49,0,0,0,0,0
50,0,0,0,0,0
51,0,0,0,0,0
52,0,0,0,0,0
53,0,0,0,0,0
54,0,0,0,0,0
6,1,2063.578,0,0,0
7,1,0,0,0,0
8,1,3971.1170000000002,0,0,0
9,1,0,0,0,0
10,1,282.44200000000001,0,0,0
11,1,4564.4260000000004,0,0,0
12,1,0,0,0,0
14,1,0,0,0,0
15,1,750.55700000000002,0,0,0
16,1,0,0,0,0
17,1,0,0,0,0
20,1,15101.856,0,0,0
25,1,0,0,0,0
26,1,0,0,3388.0900000000001,0
27,1,0,0,0,0
28,1,5554.4830000000002,0,0,0
29,1,3795.1199999999999,0,0,0
30,1,0,0,384.048,0
31,1,0,0,0,0
32,1,0,0,0,0
34,1,0,0,0,0
37,1,0,0,0,0
38,1,0,0,0,0
39,1,0,0,0,0
40,1,0,0,0,0
41,1,0,0,0,0
42,1,0,0,0,0
43,1,0,0,0,0
44,1,0,0,0,0
45,1,0,0,0,0
46,1,0,0,0,0
47,1,0,0,0,0
48,1,0,0,0,0
49,1,0,0,0,0
50,1,0,0,0,0
51,1,0,0,0,0
52,1,0,0,0,0
53,1,0,0,0,0
54,1,0,0,0,0
6,2,1850.6880000000001,0,0,0
7,2,0,0,0,0
8,2,3227.2130000000002,0,0,0
9,2,0,0,0,0
10,2,179.626,0,0,0
11,2,2754.864,0,0,0
12,2,0,0,0,0
14,2,0,0,0,0
15,2,360.46100000000001,0,0,0
16,2,0,0,0,0
17,2,0,0,0,0
