TSIndex,TSDate,EndDate,MidDate,Duration
0,01/07/1928 00:00:00,01/14/1928 00:00:00,01/10/1928 12:00:00,604800
1,01/14/1928 00:00:00,01/21/1928 00:00:00,01/17/1928 12:00:00,604800
2,01/21/1928 00:00:00,01/28/1928 00:00:00,01/24/1928 12:00:00,604800
3,01/28/1928 00:00:00,02/04/1928 00:00:00,01/31/1928 12:00:00,604800
4,02/04/1928 00:00:00,02/11/1928 00:00:00,02/07/1928 12:00:00,604800
5,02/11/1928 00:00:00,02/18/1928 00:00:00,02/14/1928 12:00:00,604800
6,02/18/1928 00:00:00,02/25/1928 00:00:00,02/21/1928 12:00:00,604800
7,02/25/1928 00:00:00,03/03/1928 00:00:00,02/28/1928 12:00:00,604800
8,03/03/1928 00:00:00,03/10/1928 00:00:00,03/06/1928 12:00:00,604800
9,03/10/1928 00:00:00,03/17/1928 00:00:00,03/13/1928 12:00:00,604800
10,03/17/1928 00:00:00,03/24/1928 00:00:00,03/20/1928 12:00:00,604800
11,03/24/1928 00:00:00,03/31/1928 00:00:00,03/27/1928 12:00:00,604800
12,03/31/1928 00:00:00,04/07/1928 00:00:00,04/03/1928 12:00:00,604800
13,04/07/1928 00:00:00,04/14/1928 00:00:00,04/10/1928 12:00:00,604800
14,04/14/1928 00:00:00,04/21/1928 00:00:00,04/17/1928 12:00:00,604800
15,04/21/1928 00:00:00,04/28/1928 00:00:00,04/24/1928 12:00:00,604800
16,04/28/1928 00:00:00,05/05/1928 00:00:00,05/01/1928 12:00:00,604800
17,05/05/1928 00:00:00,05/12/1928 00:00:00,05/08/1928 12:00:00,604800
18,05/12/1928 00:00:00,05/19/1928 00:00:00,05/15/1928 12:00:00,604800
19,05/19/1928 00:00:00,05/26/1928 00:00:00,05/22/1928 12:00:00,604800
20,05/26/1928 00:00:00,06/02/1928 00:00:00,05/29/1928 12:00:00,604800
21,06/02/1928 00:00:00,06/09/1928 00:00:00,06/05/1928 12:00:00,604800
22,06/09/1928 00:00:00,06/16/1928 00:00:00,06/12/1928 12:00:00,604800
23,06/16/1928 00:00:00,06/23/1928 00:00:00,06/19/1928 12:00:00,604800
24,06/23/1928 00:00:00,06/30/1928 00:00:00,06/26/1928 12:00:00,604800
25,06/30/1928 00:00:00,07/07/1928 00:00:00,07/03/1928 12:00:00,604800
26,07/07/1928 00:00:00,07/14/1928 00:00:00,07/10/1928 12:00:00,604800
27,07/14/1928 00:00:00,07/21/1928 00:00:00,07/17/1928 12:00:00,604800
28,07/21/1928 00:00:00,07/28/1928 00:00:00,07/24/1928 12:00:00,604800
29,07/28/1928 00:00:00,08/04/1928 00:00:00,07/31/1928 12:00:00,604800
30,08/04/1928 00:00:00,08/11/1928 00:00:00,08/07/1928 12:00:00,604800
31,08/11/1928 00:00:00,08/18/1928 00:00:00,08/14/1928 12:00:00,604800
32,08/18/1928 00:00:00,08/25/1928 00:00:00,08/21/1928 12:00:00,604800
33,08/25/1928 00:00:00,09/01/1928 00:00:00,08/28/1928 12:00:00,604800
34,09/01/1928 00:00:00,09/08/1928 00:00:00,09/04/1928 12:00:00,604800
35,09/08/1928 00:00:00,09/15/1928 00:00:00,09/11/1928 12:00:00,604800
36,09/15/1928 00:00:00,09/22/1928 00:00:00,09/18/1928 12:00:00,604800
37,09/22/1928 00:00:00,09/29/1928 00:00:00,09/25/1928 12:00:00,604800
38,09/29/1928 00:00:00,10/06/1928 00:00:00,10/02/1928 12:00:00,604800
39,10/06/1928 00:00:00,10/13/1928 00:00:00,10/09/1928 12:00:00,604800
40,10/13/1928 00:00:00,10/20/1928 00:00:00,10/16/1928 12:00:00,604800
41,10/20/1928 00:00:00,10/27/1928 00:00:00,10/23/1928 12:00:00,604800
42,10/27/1928 00:00:00,11/03/1928 00:00:00,10/30/1928 12:00:00,604800
43,11/03/1928 00:00:00,11/10/1928 00:00:00,11/06/1928 12:00:00,604800
44,11/10/1928 00:00:00,11/17/1928 00:00:00,11/13/1928 12:00:00,604800
45,11/17/1928 00:00:00,11/24/1928 00:00:00,11/20/1928 12:00:00,604800
46,11/24/1928 00:00:00,12/01/1928 00:00:00,11/27/1928 12:00:00,604800
47,12/01/1928 00:00:00,12/08/1928 00:00:00,12/04/1928 12:00:00,604800
48,12/08/1928 00:00:00,12/15/1928 00:00:00,12/11/1928 12:00:00,604800
49,12/15/1928 00:00:00,12/22/1928 00:00:00,12/18/1928 12:00:00,604800
50,12/22/1928 00:00:00,12/29/1928 00:00:00,12/25/1928 12:00:00,604800
51,12/29/1928 00:00:00,01/05/1929 00:00:00,01/01/1929 12:00:00,604800
52,01/05/1929 00:00:00,01/12/1929 00:00:00,01/08/1929 12:00:00,604800
53,01/12/1929 00:00:00,01/19/1929 00:00:00,01/15/1929 12:00:00,604800
54,01/19/1929 00:00:00,01/26/1929 00:00:00,01/22/1929 12:00:00,604800
55,01/26/1929 00:00:00,02/02/1929 00:00:00,01/29/1929 12:00:00,604800
56,02/02/1929 00:00:00,02/09/1929 00:00:00,02/05/1929 12:00:00,604800
57,02/09/1929 00:00:00,02/16/1929 00:00:00,02/12/1929 12:00:00,604800
58,02/16/1929 00:00:00,02/23/1929 00:00:00,02/19/1929 12:00:00,604800
59,02/23/1929 00:00:00,03/02/1929 00:00:00,02/26/1929 12:00:00,604800
60,03/02/1929 00:00:00,03/09/1929 00:00:00,03/05/1929 12:00:00,604800
61,03/09/1929 00:00:00,03/16/1929 00:00:00,03/12/1929 12:00:00,604800
62,03/16/1929 00:00:00,03/23/1929 00:00:00,03/19/1929 12:00:00,604800
63,03/23/1929 00:00:00,03/30/1929 00:00:00,03/26/1929 12:00:00,604800
64,03/30/1929 00:00:00,04/06/1929 00:00:00,04/02/1929 12:00:00,604800
65,04/06/1929 00:00:00,04/13/1929 00:00:00,04/09/1929 12:00:00,604800
66,04/13/1929 00:00:00,04/20/1929 00:00:00,04/16/1929 12:00:00,604800
67,04/20/1929 00:00:00,04/27/1929 00:00:00,04/23/1929 12:00:00,604800
68,04/27/1929 00:00:00,05/04/1929 00:00:00,04/30/1929 12:00:00,604800
69,05/04/1929 00:00:00,05/11/1929 00:00:00,05/07/1929 12:00:00,604800
70,05/11/1929 00:00:00,05/18/1929 00:00:00,05/14/1929 12:00:00,604800
71,05/18/1929 00:00:00,05/25/1929 00:00:00,05/21/1929 12:00:00,604800
72,05/25/1929 00:00:00,06/01/1929 00:00:00,05/28/1929 12:00:00,604800
73,06/01/1929 00:00:00,06/08/1929 00:00:00,06/04/1929 12:00:00,604800
74,06/08/1929 00:00:00,06/15/1929 00:00:00,06/11/1929 12:00:00,604800
75,06/15/1929 00:00:00,06/22/1929 00:00:00,06/18/1929 12:00:00,604800
76,06/22/1929 00:00:00,06/29/1929 00:00:00,06/25/1929 12:00:00,604800
77,06/29/1929 00:00:00,07/06/1929 00:00:00,07/02/1929 12:00:00,604800
78,07/06/1929 00:00:00,07/13/1929 00:00:00,07/09/1929 12:00:00,604800
79,07/13/1929 00:00:00,07/20/1929 00:00:00,07/16/1929 12:00:00,604800
80,07/20/1929 00:00:00,07/27/1929 00:00:00,07/23/1929 12:00:00,604800
81,07/27/1929 00:00:00,08/03/1929 00:00:00,07/30/1929 12:00:00,604800
82,08/03/1929 00:00:00,08/10/1929 00:00:00,08/06/1929 12:00:00,604800
83,08/10/1929 00:00:00,08/17/1929 00:00:00,08/13/1929 12:00:00,604800
84,08/17/1929 00:00:00,08/24/1929 00:00:00,08/20/1929 12:00:00,604800
85,08/24/1929 00:00:00,08/31/1929 00:00:00,08/27/1929 12:00:00,604800
86,08/31/1929 00:00:00,09/07/1929 00:00:00,09/03/1929 12:00:00,604800
87,09/07/1929 00:00:00,09/14/1929 00:00:00,09/10/1929 12:00:00,604800
88,09/14/1929 00:00:00,09/21/1929 00:00:00,09/17/1929 12:00:00,604800
89,09/21/1929 00:00:00,09/28/1929 00:00:00,09/24/1929 12:00:00,604800
90,09/28/1929 00:00:00,10/05/1929 00:00:00,10/01/1929 12:00:00,604800
91,10/05/1929 00:00:00,10/12/1929 00:00:00,10/08/1929 12:00:00,604800
92,10/12/1929 00:00:00,10/19/1929 00:00:00,10/15/1929 12:00:00,604800
93,10/19/1929 00:00:00,10/26/1929 00:00:00,10/22/1929 12:00:00,604800
94,10/26/1929 00:00:00,11/02/1929 00:00:00,10/29/1929 12:00:00,604800
95,11/02/1929 00:00:00,11/09/1929 00:00:00,11/05/1929 12:00:00,604800
96,11/09/1929 00:00:00,11/16/1929 00:00:00,11/12/1929 12:00:00,604800
97,11/16/1929 00:00:00,11/23/1929 00:00:00,11/19/1929 12:00:00,604800
98,11/23/1929 00:00:00,11/30/1929 00:00:00,11/26/1929 12:00:00,604800
99,11/30/1929 00:00:00,12/07/1929 00:00:00,12/03/1929 12:00:00,604800
100,12/07/1929 00:00:00,12/14/1929 00:00:00,12/10/1929 12:00:00,604800
101,12/14/1929 00:00:00,12/21/1929 00:00:00,12/17/1929 12:00:00,604800
102,12/21/1929 00:00:00,12/28/1929 00:00:00,12/24/1929 12:00:00,604800
103,12/28/1929 00:00:00,01/04/1930 00:00:00,12/31/1929 12:00:00,604800
104,01/04/1930 00:00:00,01/11/1930 00:00:00,01/07/1930 12:00:00,604800
105,01/11/1930 00:00:00,01/18/1930 00:00:00,01/14/1930 12:00:00,604800
106,01/18/1930 00:00:00,01/25/1930 00:00:00,01/21/1930 12:00:00,604800
107,01/25/1930 00:00:00,02/01/1930 00:00:00,01/28/1930 12:00:00,604800
108,02/01/1930 00:00:00,02/08/1930 00:00:00,02/04/1930 12:00:00,604800
109,02/08/1930 00:00:00,02/15/1930 00:00:00,02/11/1930 12:00:00,604800
110,02/15/1930 00:00:00,02/22/1930 00:00:00,02/18/1930 12:00:00,604800
111,02/22/1930 00:00:00,03/01/1930 00:00:00,02/25/1930 12:00:00,604800
112,03/01/1930 00:00:00,03/08/1930 00:00:00,03/04/1930 12:00:00,604800
113,03/08/1930 00:00:00,03/15/1930 00:00:00,03/11/1930 12:00:00,604800
114,03/15/1930 00:00:00,03/22/1930 00:00:00,03/18/1930 12:00:00,604800
115,03/22/1930 00:00:00,03/29/1930 00:00:00,03/25/1930 12:00:00,604800
116,03/29/1930 00:00:00,04/05/1930 00:00:00,04/01/1930 12:00:00,604800
117,04/05/1930 00:00:00,04/12/1930 00:00:00,04/08/1930 12:00:00,604800
118,04/12/1930 00:00:00,04/19/1930 00:00:00,04/15/1930 12:00:00,604800
119,04/19/1930 00:00:00,04/26/1930 00:00:00,04/22/1930 12:00:00,604800
120,04/26/1930 00:00:00,05/03/1930 00:00:00,04/29/1930 12:00:00,604800
121,05/03/1930 00:00:00,05/10/1930 00:00:00,05/06/1930 12:00:00,604800
122,05/10/1930 00:00:00,05/17/1930 00:00:00,05/13/1930 12:00:00,604800
123,05/17/1930 00:00:00,05/24/1930 00:00:00,05/20/1930 12:00:00,604800
124,05/24/1930 00:00:00,05/31/1930 00:00:00,05/27/1930 12:00:00,604800
125,05/31/1930 00:00:00,06/07/1930 00:00:00,06/03/1930 12:00:00,604800
126,06/07/1930 00:00:00,06/14/1930 00:00:00,06/10/1930 12:00:00,604800
127,06/14/1930 00:00:00,06/21/1930 00:00:00,06/17/1930 12:00:00,604800
128,06/21/1930 00:00:00,06/28/1930 00:00:00,06/24/1930 12:00:00,604800
129,06/28/1930 00:00:00,07/05/1930 00:00:00,07/01/1930 12:00:00,604800
130,07/05/1930 00:00:00,07/12/1930 00:00:00,07/08/1930 12:00:00,604800
131,07/12/1930 00:00:00,07/19/1930 00:00:00,07/15/1930 12:00:00,604800
132,07/19/1930 00:00:00,07/26/1930 00:00:00,07/22/1930 12:00:00,604800
133,07/26/1930 00:00:00,08/02/1930 00:00:00,07/29/1930 12:00:00,604800
134,08/02/1930 00:00:00,08/09/1930 00:00:00,08/05/1930 12:00:00,604800
135,08/09/1930 00:00:00,08/16/1930 00:00:00,08/12/1930 12:00:00,604800
136,08/16/1930 00:00:00,08/23/1930 00:00:00,08/19/1930 12:00:00,604800
137,08/23/1930 00:00:00,08/30/1930 00:00:00,08/26/1930 12:00:00,604800
138,08/30/1930 00:00:00,09/06/1930 00:00:00,09/02/1930 12:00:00,604800
139,09/06/1930 00:00:00,09/13/1930 00:00:00,09/09/1930 12:00:00,604800
140,09/13/1930 00:00:00,09/20/1930 00:00:00,09/16/1930 12:00:00,604800
141,09/20/1930 00:00:00,09/27/1930 00:00:00,09/23/1930 12:00:00,604800
142,09/27/1930 00:00:00,10/04/1930 00:00:00,09/30/1930 12:00:00,604800
143,10/04/1930 00:00:00,10/11/1930 00:00:00,10/07/1930 12:00:00,604800
144,10/11/1930 00:00:00,10/18/1930 00:00:00,10/14/1930 12:00:00,604800
145,10/18/1930 00:00:00,10/25/1930 00:00:00,10/21/1930 12:00:00,604800
146,10/25/1930 00:00:00,11/01/1930 00:00:00,10/28/1930 12:00:00,604800
147,11/01/1930 00:00:00,11/08/1930 00:00:00,11/04/1930 12:00:00,604800
148,11/08/1930 00:00:00,11/15/1930 00:00:00,11/11/1930 12:00:00,604800
149,11/15/1930 00:00:00,11/22/1930 00:00:00,11/18/1930 12:00:00,604800
150,11/22/1930 00:00:00,11/29/1930 00:00:00,11/25/1930 12:00:00,604800
151,11/29/1930 00:00:00,12/06/1930 00:00:00,12/02/1930 12:00:00,604800
152,12/06/1930 00:00:00,12/13/1930 00:00:00,12/09/1930 12:00:00,604800
153,12/13/1930 00:00:00,12/20/1930 00:00:00,12/16/1930 12:00:00,604800
154,12/20/1930 00:00:00,12/27/1930 00:00:00,12/23/1930 12:00:00,604800
155,12/27/1930 00:00:00,01/03/1931 00:00:00,12/30/1930 12:00:00,604800
156,01/03/1931 00:00:00,01/10/1931 00:00:00,01/06/1931 12:00:00,604800
157,01/10/1931 00:00:00,01/17/1931 00:00:00,01/13/1931 12:00:00,604800
158,01/17/1931 00:00:00,01/24/1931 00:00:00,01/20/1931 12:00:00,604800
159,01/24/1931 00:00:00,01/31/1931 00:00:00,01/27/1931 12:00:00,604800
160,01/31/1931 00:00:00,02/07/1931 00:00:00,02/03/1931 12:00:00,604800
161,02/07/1931 00:00:00,02/14/1931 00:00:00,02/10/1931 12:00:00,604800
162,02/14/1931 00:00:00,02/21/1931 00:00:00,02/17/1931 12:00:00,604800
163,02/21/1931 00:00:00,02/28/1931 00:00:00,02/24/1931 12:00:00,604800
164,02/28/1931 00:00:00,03/07/1931 00:00:00,03/03/1931 12:00:00,604800
165,03/07/1931 00:00:00,03/14/1931 00:00:00,03/10/1931 12:00:00,604800
166,03/14/1931 00:00:00,03/21/1931 00:00:00,03/17/1931 12:00:00,604800
167,03/21/1931 00:00:00,03/28/1931 00:00:00,03/24/1931 12:00:00,604800
168,03/28/1931 00:00:00,04/04/1931 00:00:00,03/31/1931 12:00:00,604800
169,04/04/1931 00:00:00,04/11/1931 00:00:00,04/07/1931 12:00:00,604800
170,04/11/1931 00:00:00,04/18/1931 00:00:00,04/14/1931 12:00:00,604800
171,04/18/1931 00:00:00,04/25/1931 00:00:00,04/21/1931 12:00:00,604800
172,04/25/1931 00:00:00,05/02/1931 00:00:00,04/28/1931 12:00:00,604800
173,05/02/1931 00:00:00,05/09/1931 00:00:00,05/05/1931 12:00:00,604800
174,05/09/1931 00:00:00,05/16/1931 00:00:00,05/12/1931 12:00:00,604800
175,05/16/1931 00:00:00,05/23/1931 00:00:00,05/19/1931 12:00:00,604800
176,05/23/1931 00:00:00,05/30/1931 00:00:00,05/26/1931 12:00:00,604800
177,05/30/1931 00:00:00,06/06/1931 00:00:00,06/02/1931 12:00:00,604800
178,06/06/1931 00:00:00,06/13/1931 00:00:00,06/09/1931 12:00:00,604800
179,06/13/1931 00:00:00,06/20/1931 00:00:00,06/16/1931 12:00:00,604800
180,06/20/1931 00:00:00,06/27/1931 00:00:00,06/23/1931 12:00:00,604800
181,06/27/1931 00:00:00,07/04/1931 00:00:00,06/30/1931 12:00:00,604800
182,07/04/1931 00:00:00,07/11/1931 00:00:00,07/07/1931 12:00:00,604800
183,07/11/1931 00:00:00,07/18/1931 00:00:00,07/14/1931 12:00:00,604800
184,07/18/1931 00:00:00,07/25/1931 00:00:00,07/21/1931 12:00:00,604800
185,07/25/1931 00:00:00,08/01/1931 00:00:00,07/28/1931 12:00:00,604800
186,08/01/1931 00:00:00,08/08/1931 00:00:00,08/04/1931 12:00:00,604800
187,08/08/1931 00:00:00,08/15/1931 00:00:00,08/11/1931 12:00:00,604800
188,08/15/1931 00:00:00,08/22/1931 00:00:00,08/18/1931 12:00:00,604800
189,08/22/1931 00:00:00,08/29/1931 00:00:00,08/25/1931 12:00:00,604800
190,08/29/1931 00:00:00,09/05/1931 00:00:00,09/01/1931 12:00:00,604800
191,09/05/1931 00:00:00,09/12/1931 00:00:00,09/08/1931 12:00:00,604800
192,09/12/1931 00:00:00,09/19/1931 00:00:00,09/15/1931 12:00:00,604800
193,09/19/1931 00:00:00,09/26/1931 00:00:00,09/22/1931 12:00:00,604800
194,09/26/1931 00:00:00,10/03/1931 00:00:00,09/29/1931 12:00:00,604800
195,10/03/1931 00:00:00,10/10/1931 00:00:00,10/06/1931 12:00:00,604800
196,10/10/1931 00:00:00,10/17/1931 00:00:00,10/13/1931 12:00:00,604800
197,10/17/1931 00:00:00,10/24/1931 00:00:00,10/20/1931 12:00:00,604800
198,10/24/1931 00:00:00,10/31/1931 00:00:00,10/27/1931 12:00:00,604800
199,10/31/1931 00:00:00,11/07/1931 00:00:00,11/03/1931 12:00:00,604800
200,11/07/1931 00:00:00,11/14/1931 00:00:00,11/10/1931 12:00:00,604800
201,11/14/1931 00:00:00,11/21/1931 00:00:00,11/17/1931 12:00:00,604800
202,11/21/1931 00:00:00,11/28/1931 00:00:00,11/24/1931 12:00:00,604800
203,11/28/1931 00:00:00,12/05/1931 00:00:00,12/01/1931 12:00:00,604800
204,12/05/1931 00:00:00,12/12/1931 00:00:00,12/08/1931 12:00:00,604800
205,12/12/1931 00:00:00,12/19/1931 00:00:00,12/15/1931 12:00:00,604800
206,12/19/1931 00:00:00,12/26/1931 00:00:00,12/22/1931 12:00:00,604800
207,12/26/1931 00:00:00,01/02/1932 00:00:00,12/29/1931 12:00:00,604800
208,01/02/1932 00:00:00,01/09/1932 00:00:00,01/05/1932 12:00:00,604800
209,01/09/1932 00:00:00,01/16/1932 00:00:00,01/12/1932 12:00:00,604800
210,01/16/1932 00:00:00,01/23/1932 00:00:00,01/19/1932 12:00:00,604800
211,01/23/1932 00:00:00,01/30/1932 00:00:00,01/26/1932 12:00:00,604800
212,01/30/1932 00:00:00,02/06/1932 00:00:00,02/02/1932 12:00:00,604800
213,02/06/1932 00:00:00,02/13/1932 00:00:00,02/09/1932 12:00:00,604800
214,02/13/1932 00:00:00,02/20/1932 00:00:00,02/16/1932 12:00:00,604800
215,02/20/1932 00:00:00,02/27/1932 00:00:00,02/23/1932 12:00:00,604800
216,02/27/1932 00:00:00,03/05/1932 00:00:00,03/01/1932 12:00:00,604800
217,03/05/1932 00:00:00,03/12/1932 00:00:00,03/08/1932 12:00:00,604800
218,03/12/1932 00:00:00,03/19/1932 00:00:00,03/15/1932 12:00:00,604800
